"school_name_x","School Code","Number of Rating","Overall Quality","Reputation","Facilities","Opportunities","Clubs","Safety","Happiness","Social","school_name_y","place_id","overall_rating","number_of_review","accurate_address","matching_substring","CA Student Undergraduate","CA Student Graduate","International Student Undergraduate","International Student Graduate","Image Source"
"University of Manitoba","/school/1438","427 Ratings","3.1","3.2","3.2","3.1","2.8","3.6","3.3","2.9","University of Manitoba","ChIJzQd-DLw0K4gRoqqSLgWbDtE","4.6","82.0","6 Hoskin Ave, Toronto, ON M5S 1H8, Canada","University of Manitoba","$4,352 - $4,858","$5,541","$16,620 - $18,699","$12,190","https://www.universitystudy.ca/wp-content/uploads/2019/10/UM_Logo_HORZ_CMYK_web-2.jpg"
"Memorial University of Newfoundland","/school/1441","436 Ratings","3.4","3.6","3.2","3.4","3.3","3.8","3.7","3.5","Memorial University of Newfoundland","ChIJifur2I6jDEsRQJdRZNoIWms","4.3","277.0","St. John's, NL A1B, Canada","Memorial University of Newfoundland","$2,650 - $6,000","$2,859 - $3,717","$11,920 - $20,000","$4,833","https://www.universitystudy.ca/wp-content/uploads/2019/04/memorial_2-lines-color-burgundy_logo_200px.jpg"
"Universite du Quebec a Montreal","/school/1462","109 Ratings","3.9","3.5","3.9","3.8","3.8","4.2","4.2","3.9","Universite du Quebec a Montreal (Montréal)","ChIJDW5a808ayUwRgFg-f63Zwh0","4.2","726.0","405 Rue Sainte-Catherine Est, Montréal, QC H2L 2C4, Canada","Universite du Quebec a Montreal, Universite du Quebec","","","","",""
"Universite du Quebec a Montreal","/school/1462","109 Ratings","3.9","3.5","3.9","3.8","3.8","4.2","4.2","3.9","Universite du Quebec a Montreal (Montréal)","ChIJDW5a808ayUwRgFg-f63Zwh0","4.2","726.0","405 Rue Sainte-Catherine Est, Montréal, QC H2L 2C4, Canada","Universite du Quebec a Montreal, Universite du Quebec","","","","",""
"Universite du Quebec a Montreal","/school/1462","109 Ratings","3.9","3.5","3.9","3.8","3.8","4.2","4.2","3.9","Universite du Quebec a Montreal (Montréal)","ChIJDW5a808ayUwRgFg-f63Zwh0","4.2","726.0","405 Rue Sainte-Catherine Est, Montréal, QC H2L 2C4, Canada","Universite du Quebec a Montreal, Universite du Quebec","","","","",""
"Universite du Quebec a Montreal","/school/1462","109 Ratings","3.9","3.5","3.9","3.8","3.8","4.2","4.2","3.9","Universite du Quebec a Montreal (Montréal)","ChIJDW5a808ayUwRgFg-f63Zwh0","4.2","726.0","405 Rue Sainte-Catherine Est, Montréal, QC H2L 2C4, Canada","Universite du Quebec a Montreal, Universite du Quebec","","","","",""
"University of New Brunswick","/school/1446","164 Ratings","3.6","3.7","3.7","3.6","3.2","4.1","3.8","3.5","University of New Brunswick (Fredericton)","ChIJm7qldhAipEwR0eo7-3Za1U0","4.3","99.0","3 Bailey Dr, Fredericton, NB E3B 5A3, Canada","University of New Brunswick","$7,170 - $7,488","$7,326","$17,216 - $17,534","$13,116","https://www.universitystudy.ca/wp-content/uploads/2022/10/New-Brunswick.jpg"
"University of New Brunswick","/school/15086","","","","","","","","","","University of New Brunswick (Moncton)","ChIJwUVAs824oEwRyUfKrWBvqJA","","","55 Lutz St, Moncton, NB E1C 0L2, Canada","University of New Brunswick","$7,170 - $7,488","$7,326","$17,216 - $17,534","$13,116","https://www.universitystudy.ca/wp-content/uploads/2022/10/New-Brunswick.jpg"
"University of New Brunswick - Saint John","/school/4009","68 Ratings","3.0","2.9","3.2","2.8","2.3","3.7","3.3","2.7","University of New Brunswick - Saint John","ChIJi7qVkdJMpkwRpwifhHDmc6w","4.1","41.0","100 Tucker Park Rd, Saint John, NB E2K 5E2, Canada","University of New Brunswick","$7,170 - $7,488","$7,326","$17,216 - $17,534","$13,116","https://www.universitystudy.ca/wp-content/uploads/2022/10/New-Brunswick.jpg"
"Brock University","/school/1415","360 Ratings","3.7","3.3","3.9","3.6","3.6","4.2","4.0","3.7","Brock University","ChIJpeTw-TJO04kR0qerzeaJe9s","4.2","461.0","1812 Sir Isaac Brock Way, St. Catharines, ON L2S 3A1, Canada","Brock University","$5,917 - $6,089","$5,850 - $8,176","$30,744 - $31,622","$23,504","https://www.universitystudy.ca/wp-content/uploads/2022/12/Brock_logo_web-200x.jpg"
"Universite de Sherbrooke","/school/1481","45 Ratings","4.0","4.3","4.0","4.0","3.7","4.6","4.3","4.0","Universite de Sherbrooke (Sherbrooke)","ChIJ2QHYVEuzt0wRCkczUGODyEA","4.4","335.0","2500 Bd de l'Université, Sherbrooke, QC J1K 2R1, Canada","Universite de Sherbrooke","$2,797 - $8,730","$2,797 - $8,730","$19,155 - $21,395","$17,193 - $19,155","https://www.etudesuniversitaires.ca/wp-content/uploads/2020/11/Sherbrooke_UdeS_coul_300dpi.jpg"
"Universite de Sherbrooke","/school/18387","","","","","","","","","","Universite de Sherbrooke (Longueuil)","ChIJCSYXbBMbyUwRB9TIHsb5dsU","4.5","126.0","150 Pl. Charles-Le Moyne, Longueuil, QC J4K 0A8, Canada","Universite de Sherbrooke","$2,797 - $8,730","$2,797 - $8,730","$19,155 - $21,395","$17,193 - $19,155","https://www.etudesuniversitaires.ca/wp-content/uploads/2020/11/Sherbrooke_UdeS_coul_300dpi.jpg"
"Wilfrid Laurier University - Waterloo","/school/1492","363 Ratings","3.9","4.0","3.9","4.0","4.2","4.4","4.5","4.3","Wilfrid Laurier University - Waterloo","ChIJI5ofG_bzK4gRNyU3WUTmJNI","3.6","415.0","75 University Ave W, Waterloo, ON N2L 3C5, Canada","Wilfrid Laurier University","$5,663 - $7,081","$4,536 - $11,543","$29,311 - $30,716","$12,690 - $25,830","https://www.universitystudy.ca/wp-content/uploads/2019/04/wilfrid-laurier_2-lines_color_logo_200px.png"
"Wilfrid Laurier University - Brantford","/school/5355","85 Ratings","3.2","3.4","3.3","3.4","3.1","2.6","3.8","3.3","Wilfrid Laurier University - Brantford","ChIJV4ku1w5mLIgRIsS4Q3rvuNY","4.2","98.0","73 George St, Brantford, ON N3T 2Y3, Canada","Wilfrid Laurier University","$5,663 - $7,081","$4,536 - $11,543","$29,311 - $30,716","$12,690 - $25,830","https://www.universitystudy.ca/wp-content/uploads/2019/04/wilfrid-laurier_2-lines_color_logo_200px.png"
"Wilfrid Laurier University - Milton","/school/18184","","","","","","","","","","Wilfrid Laurier University - Milton","ChIJI5ofG_bzK4gRNyU3WUTmJNI","3.6","415.0","75 University Ave W, Waterloo, ON N2L 3C5, Canada","Wilfrid Laurier University","$5,663 - $7,081","$4,536 - $11,543","$29,311 - $30,716","$12,690 - $25,830","https://www.universitystudy.ca/wp-content/uploads/2019/04/wilfrid-laurier_2-lines_color_logo_200px.png"
"University of Windsor","/school/1493","298 Ratings","3.2","2.9","3.2","3.1","3.0","3.6","3.3","3.1","University of Windsor","ChIJ70vsxnctO4gR7kFOKhnxRBo","4.0","646.0","401 Sunset Ave, Windsor, ON N9B 3P4, Canada","University of Windsor","$5,800","$7,179","$25,910 - $30,200","$25,290","https://www.universitystudy.ca/wp-content/uploads/2019/04/windsor-color-2-lines-logo_200px.png"
"University of Regina","/school/1468","322 Ratings","3.0","2.9","3.1","2.9","2.6","3.7","3.0","2.6","University of Regina","ChIJq6ePeZCgHlMRJAyHny_D4Uc","4.3","479.0","3737 Wascana Pkwy, Regina, SK S4S 0A2, Canada","University of Regina","$7,230 - $7,665","$4,725","$21,690 - $22,995","$8,574","https://www.universitystudy.ca/wp-content/uploads/2019/04/regina-color-stacked-logo_200px.jpg"
"University of Lethbridge","/school/1435","326 Ratings","3.5","3.7","3.7","3.6","3.5","4.1","3.9","3.5","University of Lethbridge","ChIJGx5DBC2GblMRK4d2uP4OhZA","4.1","157.0","4401 University Dr W, Lethbridge, AB T1K 3M4, Canada","University of Lethbridge","$2,797 - $8,730","$2,797 - $8,730","$19,155 - $21,395","$17,193 - $19,155",""
"University of Lethbridge - Edmonton","/school/16613","","","","","","","","","","University of Lethbridge - Edmonton","ChIJP7MLsTkioFMRjxi-re3r9zc","","","7128 Ada Blvd NW, Edmonton, AB T5B 4E4, Canada","University of Lethbridge","$2,797 - $8,730","$2,797 - $8,730","$19,155 - $21,395","$17,193 - $19,155",""
"university of lethbridge","/school/18396","","","","","","","","","","university of lethbridge","ChIJGx5DBC2GblMRK4d2uP4OhZA","4.1","157.0","4401 University Dr W, Lethbridge, AB T1K 3M4, Canada","","","","","",""
"British Columbia Institute of Technology","/school/4019","139 Ratings","3.3","4.2","3.1","3.8","2.4","4.0","3.2","2.5","British Columbia Institute of Technology (Burnaby)","ChIJ28i4pcx3hlQRwDHMkYpIO6w","3.0","39.0","SW 3, White Ave, Burnaby, BC V5G 3H2, Canada","British Columbia Institute of Technology","$2,797 - $8,730","$2,797 - $8,730*","$8,730","$8,730 - $19,154*",""
"British Columbia Institute of Technology","/school/4774","2 Ratings","3.4","4.0","3.5","4.0","1.0","4.0","4.5","3.5","British Columbia Institute of Technology (Richmond)","ChIJqdTjFdZ0hlQRqudtz9PrBcg","4.1","60.0","3800 Cessna Dr, Richmond, BC V7B 0A1, Canada","British Columbia Institute of Technology","$2,797 - $8,730","$2,797 - $8,730*","$8,730","$8,730 - $19,154*",""
"British Columbia Institute of Technology","/school/5624","14 Ratings","3.4","3.9","3.5","3.6","2.3","4.2","3.5","2.3","British Columbia Institute of Technology (Vancouver)","ChIJ4S7wxnhxhlQRFGfmMvQ74LQ","4.3","124.0","555 Seymour St, Vancouver, BC V6B 3H6, Canada","British Columbia Institute of Technology","$2,797 - $8,730","$2,797 - $8,730*","$8,730","$8,730 - $19,154*",""
"British Columbia institute of technology","/school/18636","","","","","","","","","","British Columbia institute of technology","ChIJ28i4pcx3hlQRwDHMkYpIO6w","3.0","39.0","SW 3, White Ave, Burnaby, BC V5G 3H2, Canada","","","","","",""
